=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#1: 2 → 1, load=126.7kg
  Req#2: 13 → 1, load=140.3kg
  Req#3: 8 → 1, load=62.9kg
  Req#4: 10 → 1, load=77.9kg
  Req#5: 10 → 1, load=97.8kg
  Req#6: 14 → 1, load=132.5kg
  Req#7: 7 → 1, load=85.0kg
  Req#8: 8 → 1, load=68.7kg
  Req#9: 11 → 1, load=83.8kg
  Req#10: 8 → 1, load=67.1kg
  Req#11: 12 → 1, load=115.7kg
  Req#12: 2 → 1, load=119.5kg
  Req#13: 3 → 1, load=137.0kg
  Req#14: 15 → 1, load=92.8kg
  Req#15: 5 → 1, load=120.3kg
  Req#16: 12 → 1, load=75.4kg
  Req#17: 4 → 1, load=101.6kg
  Req#18: 5 → 1, load=121.6kg
  Req#19: 14 → 1, load=65.0kg
  Req#20: 3 → 1, load=79.0kg
  Req#21: 13 → 1, load=88.3kg
  Req#22: 9 → 1, load=72.9kg
  Req#23: 13 → 1, load=110.5kg
  Req#24: 8 → 1, load=92.6kg
  Req#25: 1 → 4, load=105.9kg
  Req#26: 12 → 1, load=74.4kg
  Req#27: 11 → 1, load=65.7kg
  Req#28: 10 → 1, load=137.5kg
  Req#29: 13 → 1, load=70.3kg
  Req#30: 7 → 1, load=70.0kg
  Req#31: 9 → 1, load=60.3kg
  Req#32: 1 → 14, load=76.1kg
  Req#33: 15 → 1, load=116.3kg
  Req#34: 7 → 1, load=128.6kg
  Req#35: 14 → 1, load=143.0kg
  Req#36: 3 → 1, load=143.6kg
  Req#37: 15 → 1, load=132.6kg
  Req#38: 3 → 1, load=67.7kg
  Req#39: 3 → 1, load=148.0kg
  Req#40: 10 → 1, load=74.9kg
  Req#41: 11 → 1, load=98.1kg
  Req#42: 5 → 1, load=124.2kg
  Req#43: 12 → 1, load=118.5kg
  Req#44: 5 → 1, load=65.8kg
  Req#45: 10 → 1, load=80.7kg
  Req#46: 5 → 1, load=66.1kg
  Req#47: 7 → 1, load=66.4kg
  Req#48: 4 → 1, load=125.1kg
  Req#49: 11 → 1, load=102.5kg
  Req#50: 3 → 1, load=119.3kg
  Req#51: 8 → 1, load=102.0kg
  Req#52: 1 → 3, load=65.5kg
  Req#53: 14 → 1, load=137.6kg
  Req#54: 8 → 1, load=76.5kg
  Req#55: 15 → 1, load=143.1kg
  Req#56: 2 → 1, load=118.7kg
  Req#57: 2 → 1, load=147.2kg
  Req#58: 9 → 1, load=103.3kg
  Req#59: 2 → 1, load=74.8kg
  Req#60: 14 → 1, load=101.0kg
  Req#61: 13 → 1, load=149.6kg
  Req#62: 6 → 1, load=79.6kg
  Req#63: 13 → 1, load=108.8kg
  Req#64: 10 → 1, load=142.7kg
  Req#65: 2 → 1, load=146.5kg
  Req#66: 12 → 1, load=137.6kg
  Req#67: 11 → 1, load=82.2kg
  Req#68: 11 → 1, load=110.9kg
  Req#69: 6 → 1, load=78.4kg
  Req#70: 12 → 1, load=118.1kg
  Req#71: 14 → 1, load=144.2kg
  Req#72: 3 → 1, load=66.6kg
  Req#73: 6 → 1, load=71.9kg
  Req#74: 6 → 1, load=74.2kg
  Req#75: 13 → 1, load=87.2kg
  Req#76: 12 → 1, load=133.5kg
  Req#77: 12 → 1, load=69.3kg
  Req#78: 13 → 1, load=109.8kg
  Req#79: 11 → 1, load=79.0kg
  Req#80: 10 → 1, load=104.0kg
  Req#81: 15 → 1, load=64.6kg
  Req#82: 7 → 1, load=129.4kg
  Req#83: 6 → 1, load=74.5kg
  Req#84: 3 → 1, load=66.8kg
  Req#85: 4 → 1, load=109.1kg
  Req#86: 4 → 1, load=63.8kg
  Req#87: 14 → 1, load=147.5kg
  Req#88: 12 → 1, load=69.3kg
  Req#89: 15 → 1, load=96.6kg
  Req#90: 15 → 1, load=74.6kg
  Req#91: 4 → 1, load=139.3kg
  Req#92: 8 → 1, load=132.2kg
  Req#93: 14 → 1, load=82.3kg
  Req#94: 2 → 1, load=137.3kg
  Req#95: 15 → 1, load=142.7kg
  Req#96: 5 → 1, load=62.1kg
  Req#97: 7 → 1, load=85.1kg
  Req#98: 10 → 1, load=96.0kg
  Req#99: 1 → 10, load=89.8kg
  Req#100: 11 → 1, load=146.6kg
  Req#101: 3 → 1, load=113.7kg
  Req#102: 10 → 1, load=70.4kg
  Req#103: 5 → 1, load=82.9kg
  Req#104: 10 → 1, load=121.8kg
  Req#105: 13 → 1, load=120.4kg
  Req#106: 7 → 1, load=116.1kg
  Req#107: 3 → 1, load=124.8kg
  Req#108: 8 → 1, load=122.7kg
  Req#109: 5 → 1, load=97.8kg
  Req#110: 11 → 1, load=111.2kg
  Req#111: 15 → 1, load=60.0kg
  Req#112: 12 → 1, load=89.0kg
  Req#113: 12 → 1, load=79.2kg
  Req#114: 4 → 1, load=119.3kg
  Req#115: 12 → 1, load=117.0kg
  Req#116: 12 → 1, load=87.9kg
  Req#117: 4 → 1, load=62.2kg
  Req#118: 3 → 1, load=101.0kg
  Req#119: 11 → 1, load=77.5kg
  Req#120: 12 → 1, load=121.9kg
  Req#121: 15 → 1, load=129.3kg
  Req#122: 13 → 1, load=106.6kg
  Req#123: 5 → 1, load=142.6kg
  Req#124: 10 → 1, load=148.9kg
  Req#125: 14 → 1, load=140.2kg
  Req#126: 15 → 1, load=141.6kg
